Date, Time, Type, Category, Item, Amount, Currency, Bank, Card No., Account No., Payment Method, Tags, Merchant, Sender, Recipient, Remarks, Serial Number, Warranty
"03/12/2022","8:34:57 am","Expense","Health","",18,"SGD","OCBC","6940","123-456-7890","Debit Card","","Watsons","","","Neque dolorem modi praesentium ipsam.","",""
"07/11/2022","5:11:49 pm","Expense","Health","",14,"SGD","DBS","1390","098-765-4321","Credit Card","","Unity","","","Perspiciatis autem natus illo nihil consequuntur quaerat minus nobis.","",""
"16/12/2022","11:50:11 am","Expense","Games","",28,"SGD","OCBC","","","Google Pay","","Steam","","","Accusamus eum fugiat distinctio porro perspiciatis a.","",""
"06/11/2022","6:46:40 pm","Expense","Food","",48,"SGD","OCBC","","","PayPal","","Starbucks","","","Dicta porro minus quae laudantium rem neque.","",""
"23/12/2022","1:27:56 pm","Expense","Shopping","Product Name",22,"SGD","DBS","","","Cash","","Taobao","","","Magnam saepe temporibus natus accusamus ex consectetur quas quos.","n8xi68emjmw4",""
"05/12/2022","5:53:52 pm","Expense","Transfer","",18,"SGD","DBS","","","Google Pay","","","","Qin Guan","Optio ipsum necessitatibus deserunt.","",""
"27/11/2022","11:36:40 pm","Expense","Health","",44,"SGD","DBS","","","Google Pay","","Guardian","","","Ex minus commodi odio sunt amet.","",""
"21/12/2022","2:56:09 pm","Expense","Shopping","Product Name",32,"SGD","OCBC","6940","123-456-7890","Debit Card","","Zalora","","","Fugiat hic quia laboriosam excepturi provident.","",""
"01/11/2022","5:08:15 pm","Expense","Tech","Product Name",224,"SGD","DBS","","","PayLah","","Microsoft","","","Tempora quas deserunt.","","180"
"26/12/2022","7:10:29 am","Expense","Food","",40,"SGD","OCBC","","","PayNow","","Kazan Ramen","","","Dolorum vel voluptates assumenda sint impedit perspiciatis pariatur reiciendis adipisci.","",""
"09/11/2022","11:27:40 am","Expense","Transport","",0,"SGD","DBS","","","PayLah","","SMRT","","","Earum quaerat similique quia animi voluptate officiis.","",""
"28/11/2022","1:13:33 pm","Expense","Transport","",0,"SGD","DBS","1390","098-765-4321","Credit Card","Delivery","Grab","","","Officia excepturi nam ipsa ab praesentium cumque doloribus commodi vero.","",""
"11/11/2022","6:02:27 am","Expense","Health","",42,"SGD","OCBC","","","Google Pay","","Guardian","","","Amet sunt numquam neque esse quisquam beatae quia.","",""
"05/11/2022","12:13:33 pm","Expense","Transfer","",28,"SGD","OCBC","","","Cash","","","","Addison","Atque facere ducimus alias illum fuga adipisci repellat dignissimos.","",""
"20/11/2022","6:38:26 pm","Expense","Health","",22,"SGD","DBS","6940","123-456-7890","Debit Card","","Unity","","","Fugiat optio perferendis cupiditate impedit.","",""
"26/12/2022","9:30:06 pm","Expense","Health","",28,"SGD","OCBC","6940","123-456-7890","Debit Card","","Guardian","","","Quo ullam saepe autem.","",""
"30/12/2022","6:04:02 am","Expense","Shopping","Product Name",50,"SGD","DBS","","","Cash","","Taobao","","","Aliquid consectetur quisquam labore excepturi corporis soluta expedita alias voluptatum.","",""
"24/12/2022","11:23:34 am","Expense","Tech","Product Name",784,"SGD","DBS","","","PayPal","","Google","","","Dolores voluptate ipsam praesentium reiciendis.","",""
"05/12/2022","5:20:44 am","Expense","Transport","",2,"SGD","DBS","6940","123-456-7890","Debit Card","","Uber","","","Nisi a corporis repudiandae voluptatibus.","",""
"30/11/2022","9:08:36 am","Expense","Transfer","",38,"SGD","OCBC","","","Apple Pay","","","","Wai Hang","Eos officia nihil labore qui fugit.","",""
"07/12/2022","6:00:12 am","Expense","Health","",38,"SGD","OCBC","","","Apple Pay","","Watsons","","","Dolor similique sapiente quis accusamus aut mollitia.","",""
"14/12/2022","9:44:18 pm","Expense","Tech","Product Name",288,"SGD","DBS","1390","098-765-4321","Credit Card","","Microsoft","","","Dolorum qui ad earum.","",""
"24/11/2022","8:50:40 am","Expense","Health","",16,"SGD","OCBC","1390","098-765-4321","Credit Card","","Watsons","","","Molestias exercitationem aliquid praesentium.","",""
"13/11/2022","6:02:37 pm","Expense","Food","",48,"SGD","OCBC","","","PayPal","Delivery","Pizza Hut","","","Omnis reiciendis deleniti deserunt aliquid illo quae.","",""
"29/11/2022","4:57:28 am","Expense","Transport","",0,"SGD","DBS","","","Google Pay","","SMRT","","","Fugiat adipisci libero qui vero doloribus maiores ex asperiores illo.","",""
"26/11/2022","1:12:55 pm","Expense","Tech","Product Name",578,"SGD","DBS","1390","098-765-4321","Credit Card","","Samsung","","","Distinctio excepturi ad rerum iure tenetur.","z1wp0u60isjq",""
"21/12/2022","2:22:27 am","Expense","Food","",38,"SGD","DBS","","","PayPal","","Starbucks","","","Quisquam ipsam velit amet quas sit perferendis.","",""
"20/12/2022","8:14:33 pm","Expense","Transfer","",46,"SGD","DBS","","","PayLah","","","","Qin Guan","Dolor voluptates quae accusamus ex voluptatem pariatur fugiat.","",""
"25/11/2022","12:42:29 am","Expense","Transfer","",24,"SGD","DBS","","","Google Pay","","","","Qin Guan","Aliquid minima facere laboriosam.","",""
"15/12/2022","5:09:01 pm","Expense","Health","",26,"SGD","OCBC","","","Cash","","Unity","","","Vitae iusto laborum nemo.","",""
"26/11/2022","3:59:14 am","Expense","Transport","",0,"SGD","OCBC","1390","098-765-4321","Credit Card","","Gojek","","","Asperiores dicta eaque ex.","",""
"15/12/2022","11:53:50 am","Expense","Shopping","Product Name",50,"SGD","OCBC","6940","123-456-7890","Debit Card","","Shopee","","","Blanditiis ratione ipsa possimus dolorum sapiente incidunt rerum culpa.","",""
"19/12/2022","8:20:18 pm","Expense","Transport","",0,"SGD","OCBC","","","Apple Pay","","Gojek","","","Mollitia eius mollitia eveniet saepe reiciendis veritatis exercitationem.","",""
"07/12/2022","10:10:53 pm","Expense","Transport","",2,"SGD","OCBC","","","Google Pay","","Uber","","","Provident quae eveniet.","",""
"26/11/2022","4:54:05 pm","Expense","Games","",28,"SGD","DBS","","","Apple Pay","","Steam","","","Eius architecto delectus modi.","",""
"23/11/2022","5:32:02 am","Expense","Tech","Product Name",550,"SGD","DBS","","","Apple Pay","","Samsung","","","Possimus laudantium occaecati culpa sapiente itaque maxime accusamus.","xsbnatfejktm","365"
"19/12/2022","3:21:37 pm","Expense","Health","",16,"SGD","OCBC","","","PayLah","","Guardian","","","Impedit eos odio maxime sequi cumque id praesentium soluta libero.","",""
"22/12/2022","10:15:17 am","Expense","Games","",46,"SGD","DBS","","","Cash","","Steam","","","Inventore praesentium numquam.","",""
"30/12/2022","6:28:05 am","Expense","Games","",34,"SGD","DBS","","","Cash","","Origin","","","Omnis ducimus laudantium sit beatae odit illo labore.","",""
"04/11/2022","11:44:19 am","Expense","Shopping","Product Name",24,"SGD","DBS","1390","098-765-4321","Credit Card","","Amazon","","","Cupiditate eveniet deserunt voluptas totam.","zcwynjdwpbei",""
"06/11/2022","4:59:56 pm","Expense","Transport","",2,"SGD","OCBC","","","Apple Pay","","Gojek","","","Ratione doloribus ea impedit sequi rem molestiae cupiditate delectus.","",""
"04/12/2022","4:04:37 am","Expense","Tech","Product Name",652,"SGD","OCBC","","","PayLah","","Google","","","Pariatur deserunt possimus animi necessitatibus at placeat nulla.","",""
"12/11/2022","1:43:13 pm","Expense","Food","",42,"SGD","OCBC","","","Cash","","Subway","","","Incidunt fugiat asperiores nihil doloremque.","",""
"04/11/2022","4:13:13 am","Expense","Transport","",2,"SGD","OCBC","","","PayLah","","Grab","","","Fugit sapiente debitis.","",""
"10/12/2022","1:48:48 am","Expense","Games","",12,"SGD","DBS","","","Google Pay","","Steam","","","Id voluptatum facere distinctio.","",""
"06/11/2022","3:18:30 pm","Expense","Games","",24,"SGD","OCBC","","","Google Pay","","Steam","","","Id explicabo ad possimus placeat veniam cumque iusto.","",""
"06/12/2022","7:17:23 am","Expense","Health","",44,"SGD","OCBC","","","Apple Pay","","Watsons","","","Nemo culpa excepturi temporibus maiores occaecati quia possimus occaecati.","",""
"05/11/2022","4:57:54 am","Expense","Transport","",0,"SGD","DBS","6940","123-456-7890","Debit Card","","Gojek","","","Ea odit ducimus veritatis soluta enim tempora qui.","",""
"27/11/2022","9:46:08 pm","Expense","Transfer","",24,"SGD","OCBC","","","PayLah","","","","Addison","In voluptates quo incidunt laborum.","",""
"06/11/2022","3:41:17 am","Expense","Transfer","",44,"SGD","OCBC","","","Cash","","","","Wai Hang","Voluptatem nihil voluptate totam dolorum aperiam ea similique.","",""
"05/12/2022","12:34:03 am","Expense","Shopping","Product Name",28,"SGD","OCBC","6940","123-456-7890","Debit Card","","Taobao","","","Eius iste nihil fuga cum quibusdam necessitatibus.","","365"
"17/11/2022","4:13:05 am","Expense","Food","",40,"SGD","DBS","","","Google Pay","Delivery","McDonalds","","","Molestias placeat delectus voluptates aut id et illo in.","",""
"13/12/2022","11:13:05 pm","Expense","Food","",12,"SGD","DBS","","","Google Pay","","McDonalds","","","Rem sapiente sint ducimus.","",""
"08/11/2022","2:08:07 pm","Expense","Shopping","Product Name",10,"SGD","DBS","1390","098-765-4321","Credit Card","","Qoo10","","","Laborum reprehenderit illum delectus.","nyoejvmpmjfq",""
"10/11/2022","3:59:54 pm","Expense","Shopping","Product Name",30,"SGD","OCBC","6940","123-456-7890","Debit Card","","Shopee","","","Porro quis suscipit similique repudiandae in voluptatibus impedit delectus.","",""
"12/11/2022","2:16:08 am","Expense","Transfer","",30,"SGD","DBS","","","PayNow","","","","Paul","Consectetur beatae suscipit deleniti rerum ipsam modi recusandae beatae beatae.","",""
"02/12/2022","7:43:20 pm","Expense","Food","",22,"SGD","OCBC","","","Cash","","Kazan Ramen","","","Minima amet omnis praesentium.","",""
"23/12/2022","10:40:43 pm","Expense","Games","",20,"SGD","DBS","","","PayPal","","Origin","","","Aliquid ducimus totam sed.","",""
"16/11/2022","10:45:54 pm","Expense","Games","",44,"SGD","OCBC","","","Apple Pay","","Origin","","","Quam alias voluptates repellendus quisquam repellendus odit vero iure.","",""
"13/11/2022","9:29:38 pm","Expense","Health","",20,"SGD","OCBC","","","PayLah","","Watsons","","","A optio deleniti repellendus eligendi nihil ipsum hic.","",""
"26/12/2022","3:27:41 am","Expense","Transfer","",12,"SGD","DBS","","","PayPal","","","","Addison","Non natus delectus.","",""
"10/11/2022","12:10:57 am","Expense","Transfer","",30,"SGD","DBS","","","Google Pay","","","","Wai Hang","Voluptate necessitatibus officiis numquam suscipit at nostrum quo.","",""
"10/12/2022","7:55:51 pm","Expense","Shopping","Product Name",42,"SGD","OCBC","","","PayLah","","Shopee","","","Suscipit molestias ipsa debitis quidem.","",""
"21/11/2022","11:03:41 am","Expense","Shopping","Product Name",38,"SGD","DBS","","","PayLah","","Amazon","","","Officiis voluptatem officiis neque quaerat ipsam sapiente modi.","sfsoft6bw5km",""
"24/11/2022","5:51:13 am","Expense","Shopping","Product Name",50,"SGD","DBS","","","PayNow","","Amazon","","","Quia beatae placeat eos quo ipsam veritatis explicabo accusantium quidem.","u3mibso44lq3","60"
"06/12/2022","4:08:44 pm","Expense","Games","",26,"SGD","OCBC","","","PayPal","","Steam","","","Amet ullam mollitia expedita et.","",""
"19/11/2022","5:28:23 am","Expense","Transfer","",22,"SGD","DBS","","","Cash","","","","Wai Hang","Minima sequi incidunt voluptate iste odit facilis.","",""
"19/12/2022","8:37:57 am","Expense","Transport","",2,"SGD","OCBC","","","PayLah","","Gojek","","","Iure iste iusto non distinctio.","",""
"26/12/2022","4:48:02 am","Expense","Transfer","",18,"SGD","OCBC","","","PayPal","","","","Addison","Quos repudiandae officiis.","",""
"01/01/2023","1:43:18 am","Expense","Shopping","Product Name",22,"SGD","DBS","","","Apple Pay","","Amazon","","","Laboriosam fuga magnam dolorem nesciunt ducimus.","twyifsfkevwd",""
"23/11/2022","1:32:01 am","Expense","Games","",12,"SGD","OCBC","","","Google Pay","","Steam","","","Reprehenderit a incidunt nihil possimus et aut voluptatibus illo quas.","",""
"08/12/2022","10:06:30 am","Expense","Games","",42,"SGD","DBS","","","Apple Pay","","Origin","","","Rerum a veniam recusandae corrupti quam optio magni.","",""
"16/11/2022","10:51:51 am","Expense","Transfer","",30,"SGD","OCBC","","","Cash","","","","Qin Guan","Animi suscipit pariatur eum.","",""
"21/11/2022","10:02:52 pm","Expense","Health","",28,"SGD","DBS","","","Apple Pay","","Watsons","","","In veniam enim saepe alias voluptatem nulla aliquam reiciendis voluptatibus.","",""
"16/11/2022","11:14:36 am","Expense","Food","",32,"SGD","OCBC","","","PayLah","Delivery","Subway","","","Impedit nobis corrupti provident ipsum veniam incidunt pariatur ducimus.","",""
"18/12/2022","12:42:06 pm","Expense","Tech","Product Name",200,"SGD","DBS","","","Cash","","Microsoft","","","Qui pariatur quae minus laudantium a.","",""
"10/11/2022","9:53:13 am","Expense","Games","",46,"SGD","OCBC","","","Google Pay","","Steam","","","Odit maiores maiores.","",""
"14/12/2022","2:22:33 pm","Expense","Food","",44,"SGD","OCBC","","","PayNow","Delivery","Subway","","","Voluptates necessitatibus nobis aspernatur temporibus maxime tenetur mollitia ab.","",""
"01/12/2022","9:41:24 am","Expense","Shopping","Product Name",46,"SGD","OCBC","","","PayNow","","Taobao","","","Enim magni quaerat tempore.","ekmt11q69xke","90"
"22/12/2022","5:57:32 am","Expense","Food","",38,"SGD","OCBC","","","Google Pay","Delivery","Pizza Hut","","","Ex minus consequatur recusandae rerum provident reprehenderit culpa nam.","",""
"14/12/2022","2:25:46 pm","Expense","Transfer","",28,"SGD","DBS","","","PayNow","","","","Paul","Beatae veniam rerum assumenda sint.","",""
"18/12/2022","10:41:52 am","Expense","Transport","",2,"SGD","OCBC","6940","123-456-7890","Debit Card","","Uber","","","Eum illum voluptate.","",""
"14/11/2022","9:24:51 am","Expense","Shopping","Product Name",36,"SGD","OCBC","1390","098-765-4321","Credit Card","","Qoo10","","","Velit veritatis modi omnis quos.","b2q9cwvrft5i","90"
"04/12/2022","3:26:50 pm","Expense","Tech","Product Name",118,"SGD","DBS","","","PayNow","","Samsung","","","Veritatis at molestias eum esse sed.","notf15a5eifu",""
"18/11/2022","10:07:43 am","Expense","Food","",46,"SGD","OCBC","","","PayPal","","Pizza Hut","","","Consequatur labore alias at accusantium nostrum error eius magnam distinctio.","",""
"16/12/2022","10:36:41 am","Expense","Health","",26,"SGD","DBS","","","PayLah","","Unity","","","A explicabo rem quibusdam libero.","",""
"28/11/2022","6:02:14 am","Expense","Shopping","Product Name",24,"SGD","DBS","","","PayPal","","Shopee","","","Illo harum natus distinctio minus nulla harum ratione.","e39etp8141oc","30"
"22/12/2022","11:10:57 am","Expense","Health","",44,"SGD","DBS","","","Cash","","Guardian","","","Unde error officiis consequuntur voluptatibus.","",""
"06/12/2022","10:38:22 pm","Expense","Games","",20,"SGD","OCBC","1390","098-765-4321","Credit Card","","Steam","","","Provident id quis blanditiis inventore nostrum debitis officiis est.","",""
"26/11/2022","2:36:24 pm","Expense","Transport","",2,"SGD","OCBC","","","PayPal","","Gojek","","","Eaque amet fuga perspiciatis.","",""
"11/12/2022","11:08:02 pm","Expense","Transfer","",10,"SGD","OCBC","","","Google Pay","","","","Qin Guan","Possimus maxime nulla possimus delectus aliquid fugit accusamus facilis mollitia.","",""
"23/11/2022","9:55:18 am","Expense","Food","",12,"SGD","DBS","","","Apple Pay","","NTUC","","","Impedit sit vel nisi cupiditate quidem error vitae tenetur est.","",""
"25/12/2022","10:26:26 am","Expense","Health","",40,"SGD","DBS","","","Google Pay","","Guardian","","","Veniam tempora ad enim vitae quas.","",""
"25/11/2022","4:15:41 am","Expense","Tech","Product Name",114,"SGD","DBS","1390","098-765-4321","Credit Card","","Google","","","Nemo enim unde alias illum iste harum a sunt.","","180"
"31/12/2022","8:25:01 am","Expense","Health","",10,"SGD","OCBC","","","Google Pay","","Watsons","","","Aliquid libero nemo.","",""
"09/12/2022","8:14:18 am","Expense","Health","",16,"SGD","DBS","","","PayNow","","Guardian","","","Vero dolorem delectus dolorum quis non fugiat.","",""
"19/12/2022","2:40:26 am","Expense","Transport","",2,"SGD","DBS","","","PayPal","","Uber","","","A in illum impedit.","",""
"10/11/2022","11:26:54 pm","Expense","Food","",38,"SGD","OCBC","6940","123-456-7890","Debit Card","Delivery","McDonalds","","","Natus praesentium ipsa sint voluptate adipisci iste tenetur.","",""
"04/12/2022","10:13:36 am","Expense","Transport","",0,"SGD","OCBC","","","Apple Pay","","SMRT","","","Earum eligendi id.","",""
"21/11/2022","6:12:18 pm","Expense","Food","",48,"SGD","OCBC","","","Apple Pay","","McDonalds","","","Suscipit praesentium fuga voluptatum quae aliquam asperiores eos harum.","",""
"16/12/2022","3:12:56 pm","Expense","Health","",14,"SGD","DBS","","","PayPal","","Unity","","","Vel fugiat saepe ipsam assumenda amet.","",""
"10/11/2022","9:52:11 pm","Expense","Transfer","",44,"SGD","DBS","","","Google Pay","","","","Addison","Facilis repellat molestiae mollitia possimus possimus iure.","",""
"15/11/2022","9:32:06 pm","Expense","Food","",44,"SGD","OCBC","1390","098-765-4321","Credit Card","","KFC","","","Deleniti expedita dignissimos.","",""
"16/11/2022","8:35:56 am","Expense","Transport","",2,"SGD","OCBC","","","Google Pay","","Uber","","","Minus quisquam nostrum.","",""
"07/11/2022","11:37:27 am","Expense","Shopping","Product Name",44,"SGD","DBS","","","PayLah","","Taobao","","","Minima facere officia dolore possimus provident tenetur voluptates eos quisquam.","","60"
"01/12/2022","9:54:32 pm","Expense","Health","",10,"SGD","DBS","","","Google Pay","","Guardian","","","Suscipit dicta molestias voluptas esse iusto repellat non error ipsum.","",""
"13/12/2022","6:07:05 pm","Expense","Transport","",0,"SGD","OCBC","","","Cash","","Gojek","","","Nemo provident consectetur minus excepturi nemo voluptatem.","",""
"13/12/2022","7:55:20 pm","Expense","Transfer","",48,"SGD","OCBC","","","PayPal","","","","Wai Hang","Reiciendis repudiandae delectus architecto eligendi doloremque in odio doloribus saepe.","",""
"27/12/2022","6:56:28 pm","Expense","Games","",32,"SGD","DBS","","","Google Pay","","Steam","","","Delectus soluta qui.","",""
"08/12/2022","7:57:33 pm","Expense","Tech","Product Name",530,"SGD","DBS","","","Cash","","Samsung","","","Iusto debitis harum distinctio.","sat0wgppbbep","180"
"06/12/2022","12:29:58 pm","Expense","Health","",34,"SGD","DBS","","","PayPal","","Watsons","","","Eius quidem dolorem deleniti mollitia quasi nam beatae unde non.","",""
"27/12/2022","10:59:07 am","Expense","Games","",28,"SGD","OCBC","","","PayLah","","Origin","","","Sunt fugiat nam dolores itaque asperiores repellat rem nisi.","",""
"01/11/2022","12:12:04 pm","Expense","Health","",10,"SGD","OCBC","","","Google Pay","","Guardian","","","Sint a voluptatem recusandae aliquam debitis quas blanditiis voluptatibus quisquam.","",""
"11/11/2022","4:42:40 pm","Expense","Health","",36,"SGD","DBS","","","PayPal","","Watsons","","","Vel nihil tenetur aperiam quasi ut molestias quidem molestiae iusto.","",""
"01/11/2022","9:11:03 pm","Expense","Health","",12,"SGD","OCBC","6940","123-456-7890","Debit Card","","Unity","","","Incidunt voluptate illo mollitia.","",""
"13/11/2022","12:08:44 am","Expense","Transfer","",28,"SGD","OCBC","","","Apple Pay","","","","Ethan","Sint repudiandae dolores adipisci dolores quasi corporis inventore.","",""
"13/12/2022","5:22:30 pm","Expense","Health","",26,"SGD","DBS","1390","098-765-4321","Credit Card","","Watsons","","","Aliquam illo quaerat earum eos temporibus.","",""
"14/12/2022","7:37:39 pm","Expense","Transfer","",38,"SGD","DBS","","","PayLah","","","","Qin Guan","Temporibus accusantium vel.","",""
"30/12/2022","7:40:08 pm","Expense","Transfer","",34,"SGD","OCBC","","","Cash","","","","Paul","Maxime ea saepe animi blanditiis error ipsa ea quia fugiat.","",""
"03/12/2022","6:39:08 am","Expense","Transfer","",36,"SGD","DBS","","","Google Pay","","","","Addison","Dolores quaerat dolore sed.","",""
"29/12/2022","9:24:44 pm","Expense","Transfer","",10,"SGD","DBS","","","PayNow","","","","Ethan","Qui atque culpa exercitationem porro necessitatibus numquam vero.","",""
"22/11/2022","12:36:34 pm","Expense","Transport","",0,"SGD","OCBC","","","PayLah","Delivery","Grab","","","Eum magni neque nobis cum provident fuga illum ad.","",""
"02/11/2022","9:20:42 pm","Expense","Food","",42,"SGD","OCBC","","","PayNow","","McDonalds","","","Blanditiis necessitatibus tempora consectetur.","",""
"09/12/2022","5:45:24 pm","Expense","Transfer","",44,"SGD","DBS","","","Apple Pay","","","","Ethan","Dolorum autem quod deleniti fugiat.","",""
"03/12/2022","3:23:56 am","Expense","Health","",34,"SGD","OCBC","","","Google Pay","","Guardian","","","Optio perferendis veniam adipisci esse eveniet culpa reprehenderit.","",""
"09/12/2022","5:31:32 am","Expense","Tech","Product Name",500,"SGD","OCBC","","","PayPal","","Google","","","Eius ipsa nostrum quam laboriosam.","ynrz79xjdenv","365"
"19/12/2022","12:47:17 am","Expense","Games","",30,"SGD","OCBC","","","PayNow","","Steam","","","Laboriosam minus asperiores.","",""
"16/11/2022","8:17:39 pm","Expense","Shopping","Product Name",50,"SGD","DBS","","","PayPal","","Qoo10","","","Nisi impedit corporis totam sunt cum inventore.","gibw8sf9r7j2",""
"08/12/2022","2:15:34 am","Expense","Health","",28,"SGD","OCBC","","","Apple Pay","","Guardian","","","Fugit voluptatibus occaecati ipsam doloribus magni.","",""
"09/11/2022","5:22:11 am","Expense","Games","",30,"SGD","DBS","","","Cash","","Steam","","","Nesciunt atque atque quos culpa ipsa nihil.","",""
"25/12/2022","3:10:51 pm","Expense","Shopping","Product Name",40,"SGD","DBS","1390","098-765-4321","Credit Card","","Qoo10","","","Magnam ducimus animi enim alias quas repellat.","","60"
"13/11/2022","11:56:06 am","Expense","Health","",12,"SGD","DBS","","","Apple Pay","","Guardian","","","Quia repudiandae illum.","",""
"02/11/2022","3:13:50 pm","Expense","Health","",26,"SGD","OCBC","","","PayPal","","Guardian","","","Voluptatibus harum rem atque dolorem alias quidem quam quaerat.","",""
"25/11/2022","8:32:45 pm","Expense","Games","",48,"SGD","DBS","6940","123-456-7890","Debit Card","","Steam","","","Labore repudiandae quasi unde a quo inventore soluta.","",""
"06/12/2022","6:19:25 pm","Expense","Health","",28,"SGD","DBS","","","Apple Pay","","Unity","","","Quae nisi eaque.","",""
"07/11/2022","9:26:26 am","Expense","Shopping","Product Name",16,"SGD","DBS","","","Apple Pay","","Zalora","","","Eveniet magnam suscipit cumque eum quod eveniet accusantium repellendus corporis.","zq9kac75jo1m",""
"30/12/2022","11:43:02 am","Expense","Transfer","",38,"SGD","DBS","","","Google Pay","","","","Addison","Explicabo expedita occaecati magni.","",""
"04/12/2022","8:32:18 am","Expense","Transfer","",50,"SGD","DBS","","","PayPal","","","","Qin Guan","Velit explicabo suscipit ipsum.","",""
"06/11/2022","4:32:11 am","Expense","Tech","Product Name",386,"SGD","OCBC","","","Cash","","Samsung","","","Consequuntur necessitatibus laudantium provident quod odio.","","60"
"13/12/2022","3:09:08 am","Expense","Health","",32,"SGD","DBS","","","Cash","","Watsons","","","Mollitia rem quae.","",""
"28/12/2022","10:07:52 pm","Expense","Games","",26,"SGD","OCBC","","","Apple Pay","","Steam","","","Molestiae iste quas.","",""
"16/11/2022","11:03:01 am","Expense","Tech","Product Name",774,"SGD","OCBC","","","Google Pay","","Microsoft","","","Minus itaque magnam ut necessitatibus.","","180"
"14/11/2022","5:48:26 am","Expense","Transport","",2,"SGD","DBS","","","PayLah","","SMRT","","","Ipsam quam sit.","",""
"30/12/2022","7:33:35 pm","Expense","Shopping","Product Name",28,"SGD","OCBC","","","PayNow","","Qoo10","","","Facilis facilis animi numquam velit est ut aperiam.","fdqam6x96zo3",""
"03/12/2022","8:29:19 am","Expense","Tech","Product Name",442,"SGD","OCBC","","","PayPal","","Microsoft","","","Quidem commodi nam reprehenderit numquam expedita.","jh96rqhlhih9",""
"03/11/2022","6:26:49 am","Expense","Transfer","",46,"SGD","OCBC","","","Cash","","","","Qin Guan","Deserunt ratione nam perspiciatis iusto consequuntur.","",""
"09/12/2022","11:20:40 pm","Expense","Tech","Product Name",860,"SGD","DBS","","","PayPal","","Google","","","Quos quibusdam omnis hic ex in unde.","","60"
